N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
112,5,5,5,5,6,6,6,6,6,6,6,6,4
113,122,61,10,6,12,32,6,6,7,6,6,5,5
114,5,6,5,5,6,5,45,6,6,6,6,5,4
115,5,5,5,6,6,5,5,5,7,5,6,5,4
116,5,5,12,6,5,5,5,5,6,5,5,5,4
117,5,5,5,5,6,6,5,6,10,6,7,5,4
118,5,5,5,5,5,5,5,5,6,5,6,5,18
119,5,5,5,5,5,6,5,6,7,5,5,5,4
120,5,5,92,6,6,5,72,32,8,6,6,5,41
121,5,5,5,5,6,5,5,5,6,6,5,5,4
122,5,5,5,5,6,5,5,5,6,5,5,5,4
123,5,6,6,7,6,6,6,6,6,6,7,6,4
124,5,6,23,5,6,6,7,6,6,7,6,6,5
125,6,6,6,6,6,6,6,6,6,6,6,6,4
126,71,6,5,5,5,5,5,5,6,5,5,5,4
127,5,6,5,5,5,5,5,5,6,5,5,5,33
128,172,6,6,8,6,5,5,6,6,5,6,6,5
129,5,5,5,5,5,5,5,73,8,6,6,5,4
130,5,5,5,5,5,6,9,6,6,5,6,6,5
131,6,5,5,5,24,6,5,6,6,6,6,6,4
132,5,5,5,24,34,5,5,5,6,6,6,6,4
133,5,5,5,5,6,6,5,5,6,6,5,5,10
134,6,6,6,6,6,6,6,6,7,6,7,6,4
135,6,6,6,5,6,6,5,6,54,6,6,6,4
136,36,5,5,6,6,5,6,18,6,6,6,5,4
137,5,5,5,48,7,5,6,9,6,6,6,6,4
138,6,5,11,5,6,5,6,6,6,6,6,6,4
139,5,6,5,5,6,12,5,5,6,6,6,7,5
140,6,5,5,6,6,6,6,6,12,6,6,6,10
141,6,5,5,5,6,6,6,6,6,6,6,6,53
142,7,6,6,5,6,6,35,5,6,6,6,5,4
143,6,6,6,6,6,6,6,6,6,6,6,6,17
144,6,6,6,6,6,6,6,6,7,9,6,6,5
145,6,6,6,6,6,11,6,25,7,6,6,8,7
146,6,6,6,6,6,6,6,6,7,6,6,6,5
147,181,29,8,6,6,6,6,5,6,6,6,6,4
148,5,6,5,6,6,6,6,10,7,6,6,6,4
149,6,6,7,5,6,6,6,5,6,6,6,57,5
150,5,5,5,5,6,6,6,6,6,6,6,6,32
151,6,6,6,6,6,6,10,6,6,6,6,6,4
152,6,6,7,6,6,6,6,6,7,6,19,6,4
153,6,6,5,6,6,7,6,6,43,6,6,6,4
154,6,6,5,6,6,6,6,6,26,78,7,6,4
155,6,6,6,6,6,17,6,6,7,6,6,6,5
156,6,6,6,6,69,6,6,6,7,6,6,6,5
157,6,6,6,6,6,6,6,7,7,6,6,6,4
158,6,6,5,10,7,6,6,6,7,6,6,6,4
159,6,7,6,6,6,6,6,6,6,6,6,6,6
160,6,6,6,6,7,6,6,6,6,6,6,6,5
161,6,6,6,7,6,6,6,6,7,6,6,6,5
162,6,6,6,6,6,6,6,6,6,6,37,6,4
163,6,5,7,6,7,6,27,9,7,6,6,6,5
164,6,5,6,6,6,6,6,6,7,6,16,6,5
165,6,7,6,5,6,6,6,6,8,6,6,6,4
166,6,6,6,6,11,6,6,6,8,6,7,6,4
167,6,6,6,35,6,6,6,6,7,6,6,6,4
168,6,6,6,5,8,6,6,6,6,6,6,6,5
169,6,6,6,6,6,6,6,6,6,6,6,16,4
170,6,6,6,6,6,6,6,6,6,7,6,14,4
171,6,6,6,6,7,6,6,11,7,6,6,6,5
172,6,6,6,6,6,6,6,6,7,6,6,6,4
173,6,6,6,6,6,6,33,6,8,6,6,6,12
174,6,6,6,6,9,6,6,6,7,13,6,6,5
