N,generate,map,merge,sort,reduce,total
1600,602,101,1,0,195,2000
54139,
106678,39316,250,0,500,562,41003
159217,58979,301,0,800,790,62006
211756,
264295,
316834,
369373,137151,587,2,1936,1598,142014
421912,
474451,176650,668,10,2213,1778,182019
526990,196508,674,10,1787,1482,201019
