N,generate,map,merge,sort,reduce,total
1600,55,101,519,1130,195,2000
54139,88,165,6546,10320,8000,25119
106678,131,250,5847,27100,7900,41003
159217,228,301,9922,34123,17432,62006
211756,231,248,32199,42237,31373,102053
264295,246,404,15266,70372,32401,120048
316834,312,487,22251,78481,42610,130946
369373,325,396,23714,88121,52143,166851 
421912,317,464,23128,124105,52274,166998
474451,385,613,31492,113518,59762,195852
526990,481,711,34327,132147,62452,238863
